nIdPessoa;pediu_para_sair;abs_eventos;abs_qtd_total;horas_previstas_total;acidentes_eventos;acidentes_com_afastamento;acidentes_dias_perdidos;he_eventos;he_referencia_total;he_valor_total;hi_eventos;hi_minutos_irregulares;hi_minutos_extras;mov_sal_eventos;mov_sal_valor_total;mov_sal_perc_medio
187404;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
229449;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;174.403055075801;0.06365
370338;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
273232;1;0.0;0.0;0.0;0.0;0.0;0.0;6.0;24.45;279.14;4.0;2025.0;0.0;1.0;57.740811300945;0.0477
259530;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
319199;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
115270;1;0.0;0.0;0.0;0.0;0.0;0.0;14.0;77.03999999999999;1196.47;2.0;120.0;0.0;7.0;432.721281026274;0.0472714285714285
323826;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
323440;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
233922;1;0.0;0.0;0.0;1.0;1.0;10.0;0.0;0.0;0.0;24.0;1426.0;0.0;2.0;149.492524285895;0.0515
281577;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2276.0;0.0;1.0;102.47099637513;0.0759
95952;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
218370;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
79101;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;151.214442859646;0.0374333333333333
258445;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;3306.0;0.0;2.0;55.030360648136;0.026
190440;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
271472;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
181571;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;24.59;0.02
378580;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99914;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
310571;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;344.0;0.0;0.0;0.0;0.0
103923;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;440.0;1.0
203120;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
108171;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;83.262222222222;0.08
179000;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;20.77;212.67;26.0;8910.0;0.0;1.0;23.488959764475;0.019
192555;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
197759;1;0.0;0.0;0.0;0.0;0.0;0.0;21.0;116.5;1377.9;24.0;6397.0;0.0;2.0;109.325921823691;0.0399
321840;1;0.0;0.0;0.0;0.0;0.0;0.0;3.0;11.75;188.88;1.0;7.0;0.0;0.0;0.0;0.0
160634;1;0.0;0.0;0.0;0.0;0.0;0.0;19.0;117.73;1278.32;7.0;2493.0;0.0;5.0;158.937995678321;0.02572
324734;1;0.0;0.0;0.0;0.0;0.0;0.0;14.0;67.59;1034.89;10.0;3671.0;0.0;1.0;162.68189052935;0.1108
203937;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;546.0;0.0;1.0;53.021515826154;0.0331
328421;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
321933;0;0.0;0.0;0.0;2.0;1.0;131.0;3.0;19.28;246.29;11.0;997.0;0.0;2.0;248.197249081723;0.08135
134989;1;0.0;0.0;0.0;0.0;0.0;0.0;4.0;31.61;410.03;59.0;26278.0;0.0;7.0;302.4872569122615;0.0341571428571428
72967;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;445.0;0.0;0.0;0.0;0.0
146075;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;779.0;0.0;4.0;198.035873652656;0.05015
48591;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
299506;1;0.0;0.0;0.0;0.0;0.0;0.0;18.0;80.73;1060.65;8.0;2164.0;0.0;4.0;654.658132172907;0.1156
158580;1;0.0;0.0;0.0;0.0;0.0;0.0;6.0;10.32;24.46;5.0;1696.0;0.0;5.0;151.976382678479;0.02462
104536;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
351568;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
328170;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
300605;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
204498;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;152.0;0.0;2.0;45.03969568719094;0.02155
165704;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
241195;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
162163;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;45.0;0.0;1.0;18.807039583538;0.0181
99883;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;78.48;0.08
210830;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
135894;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
282381;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;240.45635920289493;0.068
400244;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
248040;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;53.243846153846;0.04
180104;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;249.0;0.0;2.0;113.399331259805;0.0341999999999999
361556;1;0.0;0.0;0.0;0.0;0.0;0.0;3.0;6.2;86.94;0.0;0.0;0.0;0.0;0.0;0.0
323204;0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;79.85;811.46;100.0;5752.0;0.0;3.0;298.773881186664;0.0767666666666666
45439;0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;16.31;253.45;15.0;7262.0;0.0;5.0;240.498922662018;0.03444
331146;1;0.0;0.0;0.0;0.0;0.0;0.0;18.0;131.67000000000002;2048.4500000000003;93.0;10277.0;0.0;7.0;459.09002433008186;0.0452142857142857
